"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"No","No","No","No","No",150000.0
"No","No","No","No","No",483770.0
"No","No","No","No","No",3300000.0
"No","No","No","No","No",6519765.0
"No","No","No","No","No",2994237.0
"No","No","No","No","No",150000.0
"No","No","No","No","No",100000.0
"Si","No","No","No","No",752871.0
"Si","No","No","No","No",687612.0
"Si","No","No","Si","No",450000.0
"No","No","No","No","No",6800000.0
"Si","Si","Si","No","No",1000000.0
"No","No","No","No","No",1062183.0
"No","No","No","No","No",2024270.0
"No","Si","No","No","No",3154507.0
"No","Si","Si","No","No",1140000.0
"No","No","No","No","No",1857972.0
"No","No","No","No","No",365973.0
"No","No","No","No","No",4858620.0
"No","No","No","No","No",2.81873E7
"No","No","No","No","No",9074613.0
"No","No","No","No","No",9892754.0
"No","No","No","No","No",1900000.0
"Si","No","No","No","No",9061000.0
"No","No","No","No","No",1.1332534E7
"No","No","No","No","No",1.6219376E7
"No","No","No","Si","No",4090459.0
"No","No","No","No","No",2107473.0
"No","No","No","No","No",1064874.0
"No","No","No","No","No",87896.0
"Si","No","No","No","No",896848.0
"No","No","No","No","No",2572549.0
"No","No","No","No","No",1.5064244E7
"Si","No","No","No","No",1200000.0
"No","No","No","No","No",8178939.0
"No","No","No","No","No",694555.0
"Si","No","No","Si","No",1.5666429E7
"Si","No","No","No","No",1.38E7
"No","No","No","No","No",1078000.0
"No","No","No","No","No",665109.0
"No","No","No","No","No",7.1E7
"No","No","No","No","No",1.4042597E7
"No","No","No","No","No",2354159.0
"No","No","No","No","No",800000.0
"No","No","Si","No","No",150000.0
"No","No","No","No","No",224000.0
"No","No","No","No","No",163090.0
"No","No","No","No","No",6000000.0
"No","No","No","No","No",2090269.0
"No","No","No","No","No",400000.0
"Si","Si","No","Si","No",2127064.0
"No","No","No","No","No",776000.0
"Si","No","No","No","No",582366.0
"No","No","No","No","No",8744068.0
"No","No","No","No","No",8239750.0
"No","No","No","No","No",818962.0
"No","No","No","No","No",3145527.0
"No","No","No","No","No",1.19250157E8
"No","No","Si","No","No",976094.0
"No","No","No","No","No",726627.0
"No","No","No","No","No",4415520.0
"No","No","No","No","No",1889823.0
"No","No","No","No","No",6093612.0
"No","No","No","No","No",6546659.0
"Si","No","No","No","No",802981.0
"No","No","No","No","No",116726.0
"No","No","No","No","No",2572520.0
"No","No","No","No","No",110000.0
"No","No","No","No","No",582000.0
"No","No","No","No","No",5668000.0
"Si","No","No","No","No",2333136.0
"No","No","No","No","No",4880184.0
"No","No","No","No","No",175298.0
"No","No","No","No","No",1.1264742E7
"No","No","No","No","No",1499.0
"No","No","No","No","Si",7295139.0
"No","No","Si","No","No",700000.0
"No","No","No","No","No",1571253.0
"No","No","No","No","No",4547027.0
"No","No","No","No","No",320345.0
"No","No","No","No","No",240000.0
"No","No","No","No","No",172793.0
"Si","Si","Si","Si","No",420000.0
"No","No","No","No","No",240000.0
"No","No","No","No","No",178410.0
"Si","No","Si","Si","No",4911945.0
"No","No","No","No","No",4249856.0
"No","Si","No","Si","No",1075875.0
"No","Si","Si","No","No",350000.0
"No","No","No","No","No",387713.0
"No","No","Si","No","No",5321051.0
"No","No","No","No","No",14480.0
"No","No","No","No","No",1.7020872E7
"No","No","No","No","No",600000.0
"Si","No","No","No","No",1327971.0
"No","No","No","No","No",25191.0
"No","No","Si","No","No",618500.0
"Si","No","No","No","No",128044.0
"No","No","No","No","No",5678860.0
"Si","Si","Si","No","No",410000.0
"Si","No","No","Si","No",7629133.0
"No","No","No","No","No",440732.0
"Si","Si","Si","No","No",9154891.0
"No","No","No","No","No",38650.0
"No","No","No","No","No",3016391.0
"No","No","No","No","No",607687.0
"No","No","No","No","No",200090.0
"No","No","No","No","No",489545.0
"No","No","Si","No","No",430544.0
"No","No","No","No","No",180000.0
"No","No","No","No","No",20950.0
"No","No","No","No","No",229000.0
"Si","Si","Si","No","No",243624.0
"No","No","No","No","No",706621.0
"No","No","No","No","No",180000.0
"No","No","No","No","No",961557.0
"No","No","No","No","No",430315.0
"No","No","No","No","No",172217.0
"No","No","No","No","No",1246015.0
"No","No","No","No","No",196007.0
"Si","Si","No","Si","No",3217497.0
"No","No","No","No","No",520964.0
"No","No","No","No","No",1.3646688E7
"No","No","No","No","No",500000.0
"No","No","No","No","No",407917.0
"No","No","No","No","No",1200.0
"No","No","No","No","No",59881.0
"No","No","No","No","No",420000.0
"No","Si","Si","No","Si",4169424.0
"No","No","No","No","No",218632.0
"No","No","No","No","No",590691.0
"Si","No","No","No","No",573739.0
"No","No","No","No","No",108100.0
"No","No","No","No","No",280000.0
"No","No","No","No","No",1215309.0
"No","No","No","No","No",288411.0
"Si","No","No","No","No",997553.0
"No","No","No","No","No",1800000.0
"Si","No","No","No","No",241734.0
"No","No","No","No","No",226985.0
"No","No","No","No","No",1080000.0
"No","No","No","No","No",499156.0
"Si","No","No","No","No",120000.0
"No","No","No","No","No",422858.0
"No","No","No","No","No",120000.0
"Si","No","No","No","No",331043.0
"Si","No","No","No","No",231953.0
"Si","No","No","No","No",160186.0
"No","No","No","No","No",412020.0
"No","No","No","No","No",521700.0
"No","No","No","No","No",2702505.0
"Si","No","No","No","No",560000.0
"No","No","No","No","No",5665515.0
"No","No","No","No","No",1.0423E7
"No","No","No","No","No",195389.0
